Date,Holiday Name (English),Holiday Name (Swedish)
2024-01-01,New Year's Day,Nyårsdagen
2024-01-06,Epiphany,Trettondedag jul
2024-03-29,Good Friday,Långfredagen
2024-03-31,Easter Sunday,Påskdagen
2024-04-01,Easter Monday,Annandag påsk
2024-05-01,Labour Day,Första maj
2024-05-09,Ascension Day,Kristi himmelsfärdsdag
2024-05-19,Whit Sunday,Pingstdagen
2024-06-06,National Day,Sveriges nationaldag
2024-06-21,Midsummer Eve,Midsommarafton
2024-06-22,Midsummer Day,Midsommardagen
2024-11-02,All Saints' Day,Alla helgons dag
2024-12-24,Christmas Eve,Julafton
2024-12-25,Christmas Day,Juldagen
2024-12-26,Boxing Day,Annandag jul
2024-12-31,New Year's Eve,Nyårsafton
2025-01-01,New Year's Day,Nyårsdagen
2025-01-06,Epiphany,Trettondedag jul
2025-04-18,Good Friday,Långfredagen
2025-04-20,Easter Sunday,Påskdagen
2025-04-21,Easter Monday,Annandag påsk
2025-05-01,Labour Day,Första maj
2025-05-29,Ascension Day,Kristi himmelsfärdsdag
2025-06-06,National Day,Sveriges nationaldag
2025-06-08,Whit Sunday,Pingstdagen
2025-06-20,Midsummer Eve,Midsommarafton
2025-06-21,Midsummer Day,Midsommardagen
2025-11-01,All Saints' Day,Alla helgons dag
2025-12-24,Christmas Eve,Julafton
2025-12-25,Christmas Day,Juldagen
2025-12-26,Boxing Day,Annandag jul
2025-12-31,New Year's Eve,Nyårsafton
