train_id,route,scheduled_arrival,actual_arrival,departure_time,platform,status,delay_minutes,passengers
TRAIN001,Uppsala to Stockholm,2024-01-17 14:04:00,2024-01-17 14:04:00,2024-01-17 08:03:00,4,On Time,0,213
TRAIN002,Stockholm to Uppsala,2024-01-18 00:23:00,2024-01-18 00:23:00,2024-01-17 19:52:00,9,On Time,0,200
TRAIN003,Malmö to Gothenburg,2024-01-17 07:53:00,2024-01-17 07:53:00,2024-01-16 23:19:00,12,On Time,0,310
TRAIN004,Gothenburg to Stockholm,2024-01-15 10:16:00,2024-01-15 10:16:00,2024-01-15 06:14:00,11,On Time,0,376
TRAIN005,Helsingborg to Malmö,2024-01-16 19:10:00,2024-01-16 19:10:00,2024-01-16 14:03:00,4,On Time,0,380
TRAIN006,Gothenburg to Malmö,2024-01-16 04:06:00,2024-01-16 05:27:00,2024-01-15 20:27:00,3,Delayed,81,141
TRAIN007,Stockholm to Gothenburg,2024-01-16 14:42:00,2024-01-16 14:42:00,2024-01-16 07:38:00,4,On Time,0,347
TRAIN008,Lund to Copenhagen,2024-01-17 03:39:00,2024-01-17 03:39:00,2024-01-16 23:40:00,12,On Time,0,333
TRAIN009,Linköping to Stockholm,2024-01-17 04:27:00,2024-01-17 06:10:00,2024-01-16 19:57:00,12,Delayed,103,286
TRAIN010,Malmö to Copenhagen,2024-01-17 14:33:00,2024-01-17 14:51:00,2024-01-17 05:37:00,12,Delayed,18,166
TRAIN011,Stockholm to Uppsala,2024-01-15 16:47:00,2024-01-15 16:47:00,2024-01-15 11:10:00,11,On Time,0,81
TRAIN012,Malmö to Lund,2024-01-16 17:25:00,2024-01-16 17:19:00,2024-01-16 08:49:00,10,Early,-6,114
TRAIN013,Stockholm to Uppsala,2024-01-18 03:44:00,2024-01-18 03:44:00,2024-01-17 19:29:00,12,On Time,0,164
TRAIN014,Gothenburg to Malmö,2024-01-17 14:23:00,2024-01-17 14:54:00,2024-01-17 09:14:00,12,Delayed,31,189
TRAIN015,Malmö to Copenhagen,2024-01-16 23:51:00,2024-01-16 23:51:00,2024-01-16 21:06:00,8,On Time,0,207
TRAIN016,Malmö to Copenhagen,2024-01-18 13:58:00,2024-01-18 13:48:00,2024-01-18 05:26:00,9,Early,-10,182
TRAIN017,Uppsala to Stockholm,2024-01-17 23:58:00,2024-01-17 23:58:00,2024-01-17 15:17:00,12,On Time,0,158
TRAIN018,Stockholm to Gothenburg,2024-01-16 22:49:00,2024-01-16 22:39:00,2024-01-16 18:14:00,6,Early,-10,366
TRAIN019,Malmö to Copenhagen,2024-01-15 20:16:00,2024-01-15 20:11:00,2024-01-15 11:23:00,2,Early,-5,208
TRAIN020,Stockholm to Sundsvall,2024-01-15 13:09:00,2024-01-15 13:21:00,2024-01-15 08:26:00,2,Delayed,12,377
TRAIN021,Stockholm to Linköping,2024-01-16 22:47:00,2024-01-16 22:47:00,2024-01-16 14:40:00,2,On Time,0,290
TRAIN022,Stockholm to Oslo,2024-01-17 22:45:00,2024-01-17 22:45:00,2024-01-17 16:09:00,9,On Time,0,291
TRAIN023,Linköping to Stockholm,2024-01-15 21:18:00,2024-01-15 21:18:00,2024-01-15 13:08:00,12,On Time,0,198
TRAIN024,Gothenburg to Malmö,2024-01-16 22:42:00,2024-01-16 22:42:00,2024-01-16 18:58:00,3,On Time,0,193
TRAIN025,Linköping to Stockholm,2024-01-15 13:51:00,2024-01-15 13:51:00,2024-01-15 06:42:00,1,On Time,0,288
TRAIN026,Gothenburg to Malmö,2024-01-17 18:22:00,2024-01-17 18:22:00,2024-01-17 10:02:00,12,On Time,0,281
TRAIN027,Stockholm to Oslo,2024-01-16 01:48:00,2024-01-16 03:37:00,2024-01-15 23:42:00,2,Delayed,109,285
TRAIN028,Örebro to Stockholm,2024-01-16 07:26:00,2024-01-16 07:26:00,2024-01-16 03:27:00,10,On Time,0,152
TRAIN029,Helsingborg to Malmö,2024-01-17 10:36:00,2024-01-17 10:36:00,2024-01-17 05:37:00,11,On Time,0,349
TRAIN030,Stockholm to Linköping,2024-01-16 05:39:00,2024-01-16 05:39:00,2024-01-15 23:10:00,5,On Time,0,329
TRAIN031,Gothenburg to Malmö,2024-01-18 01:06:00,2024-01-18 02:27:00,2024-01-17 19:18:00,6,Delayed,81,327
TRAIN032,Stockholm to Uppsala,2024-01-16 01:11:00,2024-01-16 02:46:00,2024-01-15 17:56:00,7,Delayed,95,190
TRAIN033,Malmö to Lund,2024-01-16 21:00:00,2024-01-16 21:07:00,2024-01-16 12:33:00,7,Delayed,7,307
TRAIN034,Gothenburg to Malmö,2024-01-15 23:14:00,2024-01-15 23:14:00,2024-01-15 18:04:00,11,On Time,0,112
TRAIN035,Malmö to Gothenburg,2024-01-16 06:32:00,2024-01-16 06:32:00,2024-01-15 23:38:00,3,On Time,0,119
TRAIN036,Örebro to Stockholm,2024-01-16 04:41:00,2024-01-16 04:32:00,2024-01-16 02:11:00,8,Early,-9,367
TRAIN037,Stockholm to Gothenburg,2024-01-18 08:21:00,2024-01-18 08:21:00,2024-01-18 04:33:00,5,On Time,0,122
TRAIN038,Stockholm to Sundsvall,2024-01-16 13:00:00,2024-01-16 14:02:00,2024-01-16 07:02:00,8,Delayed,62,156
TRAIN039,Örebro to Stockholm,2024-01-17 03:35:00,2024-01-17 05:18:00,2024-01-16 21:02:00,7,Delayed,103,252
TRAIN040,Helsingborg to Malmö,2024-01-17 16:20:00,2024-01-17 16:20:00,2024-01-17 11:19:00,10,On Time,0,97
TRAIN041,Gothenburg to Stockholm,2024-01-17 10:22:00,2024-01-17 10:22:00,2024-01-17 02:09:00,10,On Time,0,177
TRAIN042,Gothenburg to Malmö,2024-01-17 21:52:00,2024-01-17 21:52:00,2024-01-17 16:40:00,6,On Time,0,296
TRAIN043,Stockholm to Sundsvall,2024-01-16 07:41:00,2024-01-16 07:41:00,2024-01-16 03:42:00,12,On Time,0,153
TRAIN044,Uppsala to Stockholm,2024-01-17 20:00:00,2024-01-17 20:00:00,2024-01-17 12:24:00,9,Cancelled,0,253
TRAIN045,Uppsala to Stockholm,2024-01-17 23:46:00,2024-01-18 00:52:00,2024-01-17 18:10:00,5,Delayed,66,115
TRAIN046,Stockholm to Linköping,2024-01-17 16:28:00,2024-01-17 17:09:00,2024-01-17 14:01:00,4,Delayed,41,268
TRAIN047,Stockholm to Uppsala,2024-01-16 07:28:00,2024-01-16 07:28:00,2024-01-16 00:26:00,7,On Time,0,309
TRAIN048,Uppsala to Stockholm,2024-01-17 08:06:00,2024-01-17 08:03:00,2024-01-17 03:02:00,10,Early,-3,276
TRAIN049,Malmö to Gothenburg,2024-01-17 14:31:00,2024-01-17 14:31:00,2024-01-17 06:10:00,4,On Time,0,272
TRAIN050,Gothenburg to Stockholm,2024-01-18 06:42:00,2024-01-18 06:42:00,2024-01-18 01:12:00,3,On Time,0,127
