department,employment_year
Finance,2002
Finance,2002
Support,2002
Procurement,2002
R&D,2003
Procurement,2003
Marketing,2003
Support,2004
Procurement,2004
Marketing,2004
Finance,2004
Sales,2004
Sales,2005
Logistics,2005
Finance,2005
Finance,2005
Sales,2005
R&D,2006
Sales,2006
Sales,2006
R&D,2006
Marketing,2007
Procurement,2007
Marketing,2007
Sales,2007
Support,2007
Procurement,2008
Logistics,2008
Marketing,2008
Operations,2008
HR,2009
IT,2009
Sales,2009
Support,2009
Operations,2009
IT,2009
HR,2010
Operations,2010
Logistics,2011
Finance,2011
Marketing,2011
HR,2012
Logistics,2012
Marketing,2012
Finance,2012
Procurement,2012
R&D,2012
HR,2013
R&D,2013
IT,2013
Support,2013
HR,2013
Operations,2013
HR,2013
Marketing,2013
Procurement,2014
Operations,2014
Operations,2014
HR,2014
Procurement,2015
Support,2015
Operations,2015
HR,2015
IT,2016
Sales,2016
Sales,2017
R&D,2017
Marketing,2017
R&D,2017
Procurement,2017
HR,2017
HR,2018
R&D,2019
Logistics,2019
R&D,2019
R&D,2019
Support,2019
Support,2019
HR,2020
R&D,2020
R&D,2020
HR,2020
Operations,2021
Finance,2021
Finance,2021
Sales,2022
Logistics,2022
Logistics,2022
IT,2022
Operations,2022
R&D,2023
Sales,2023
Support,2023
Support,2023
Operations,2024
HR,2024
Marketing,2024
R&D,2025
HR,2025
Support,2025
