neighborhood_id,name,city,postal_code,median_annual_income_sek,population
1,Maple Heights,Alderbrook,12345,520000,18500
2,Riverbend North,Port Verdant,90210,610000,22600
3,Old Quarry,New Cascadia,74105,480000,13250
4,Hillside Park,Silvervale,30309,730000,16800
5,Lakeview East,Crescent City,60622,560000,21400
6,Sunset Gardens,Grand Harbor,33133,650000,19450
7,Cedar Grove,Everglade Ridge,85001,470000,12100
8,Brookfield West,Stonebridge,10027,820000,9050
9,Willow Downs,Rosemont,19104,510000,14900
10,Orchard Terrace,High Plain,55408,590000,17300
11,Northgate Commons,Beacon Bay,98109,770000,16200
12,Harbor Point,Sapphire Key,96815,690000,11250
